report_date,project_id,project_name,agency,state,sector,original_cost_cr,revised_cost_cr,anticipated_cost_cr,cumulative_expenditure_cr,original_completion_date,revised_completion_date,anticipated_completion_date,physical_progress_pct,cost_overrun_pct_calc,delay_months_calc,expenditure_pct_of_anticipated,months_to_anticipated_completion,status,risk_level_derived,risk_score_derived,source_format
2024-12-01,020100044,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE)",BHAVNI,SIKKIM,ATOMIC ENERGY,3492.0,3492.0,7670.0,6921.72,2010-09-01,,2025-03-01,0.0,119.64490263459336,174.0,90.24406779661015,3.0,delayed,Critical,100.0,table7
2020-03-01,060100092,KULDA OCP (MAHANADI COALFIELDS LTD),MCL,ODISHA,COAL,302.96,,302.96,270.32,2010-03-01,,2020-03-01,,0.0,120.0,89.22630050171641,0.0,delayed,High,50.0,legacy_annexures
2025-03-01,060100093,GEVRA EXPANSION OCP (SECL) (35- 70) MTY,SECL,BIHAR,COAL,11816.4,,11816.4,6547.79,2023-03-01,2026-03-01,2026-03-01,77.2,0.0,36.0,55.41273145797366,12.0,delayed,High,50.0,table7
2025-03-01,180100210,PARBATI HEP (4X200 MW) (NHPC) II,NHPC,HARYANA,POWER,3919.59,,12899.0,12827.69,2009-09-01,,2025-04-01,99.23,229.0905426332856,187.0,99.4471664470114,1.0,delayed,Critical,85.0,table7
2025-03-01,180100221,SUBANSIRI LOWER H.E.P (8X250 MW),NHPC,WEST BENGAL,POWER,6285.33,,26075.54,23753.28,2010-09-01,,2026-05-01,96.1,314.86349960940794,188.0,91.0941058171758,14.0,delayed,Critical,85.0,table7
2021-04-01,180100239,"4/2012 9,750.89 - 12,176.28 11,130.00 02/2017 - 01/2021 North East Electric Power Corporation 18 KAMENG HYDROELECTRIC PROJECT (NEEPCO)",,,POWER,2496.9,,7927.34,8225.88,2009-12-01,2021-02-01,,,217.48728423244825,,103.76595427974576,,on_schedule,High,35.0,legacy_annexures
2025-03-01,180100242,BARH STPP(3X660MW) NTPC,NTPC,BIHAR,POWER,8692.97,21312.11,21312.11,22199.16,2011-10-01,2023-07-01,2025-03-01,95.0,145.16488610912037,161.0,104.1621876013215,0.0,delayed,Critical,85.0,table7
2019-12-01,180100258,KUNADANKULAM APP TRANS SYSTEM (PGCIL),PGCIL,TAMIL NADU,POWER,1779.29,,2187.32,2292.62,2008-11-01,,2019-12-01,,22.932180813695364,133.0,104.81411041822868,0.0,delayed,Critical,82.1,legacy_annexures
2025-03-01,220100133,"UDHAMPUR-SRINAGAR-BARAMULLA (NL),NR",NR,HARYANA,RAILWAYS,2500.0,37012.26,43780.0,42312.02,2002-11-01,2024-12-01,2024-12-01,100.0,1651.2,265.0,96.64691640018272,-3.0,delayed,Critical,85.0,table7
2020-03-01,220100135,"NEW BG RLY LINE FROM EKLAKHI-BALURGHAT INCLUDING GAZOLE- ITAHAR(NL),NEFR",NFR,WEST BENGAL,RAILWAYS,297.32,,614.0,275.07,2019-03-01,,2020-03-01,,106.5115027579712,12.0,44.799674267100976,0.0,delayed,Critical,60.0,legacy_annexures
2019-05-01,220100149,"DALLI-RAJHARA - RAOGHAT(PART OF DALLI- RAJHARA-JAGDALPUR),NL,RVNL",RVNL,CHHATISGARH,RAILWAYS,631.78,632.0,1195.0,973.86,2012-12-01,,2022-03-01,,89.14812118142392,111.0,81.49456066945608,34.0,delayed,Critical,85.0,legacy_annexures
2023-03-01,220100164,BELAPUR-SEAWOOD-URAN ELECTRIFIED DOUBLE LINE(MTP),MRTP,MAHARASHTR,RAILWAYS,495.44,,2980.41,2410.68,2004-03-01,,2023-03-01,,501.5683029226546,228.0,80.88417365396036,0.0,delayed,Critical,85.0,legacy_annexures
