project_snapshot_id,snapshot_month,project_code,legacy_ocms_code,pmgid,project_name,agency,ministry,sector,state,approval_date,planned_start_date,planned_completion_date,expected_completion_date,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct
108841_2026-06,2026-06,108841,-,-,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,Department of Telecommunications,Telecommunication,PAN India,2023-08-01,2025-06-01,2028-06-01,,3742.0,3742.0,435.31,0.0
222253_2026-06,2026-06,222253,-,-,Amended BharatNet Program - UP (East),Department of Telecommunications,Department of Telecommunications,Telecommunication,Uttar Pradesh,2023-08-01,2025-02-01,2028-02-01,,5008.0,5008.0,502.0,0.0
400005_2026-04,2026-04,400005,N18000337,4690,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,Power Grid Corporation of India Limited [POWERGRID],Ministry of Power,Coal,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",2022-01-01,2022-07-01,2023-06-01,2026-05-01,4546.26,4546.26,4528.07,99.9
400006_2026-04,2026-04,400006,-,4689,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,Ministry of Railways,Railways,Odisha,2021-10-01,2021-10-01,2025-10-01,2026-12-01,808.99,808.99,701.15,38.0
400006_2026-05,2026-05,400006,-,4689,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,Ministry of Railways,Railways,Odisha,2021-10-01,2021-10-01,2025-10-01,2026-12-01,808.99,808.99,743.46,40.0
400006_2026-06,2026-06,400006,-,-,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,Ministry of Railways,Railways,Odisha,2021-10-01,2021-10-01,2025-10-01,2026-12-01,808.99,808.99,743.46,40.0
400010_2026-04,2026-04,400010,N04000078,4665,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,2018-07-01,2018-09-01,2021-09-01,2026-07-01,480.0,640.0,501.81,78.9
400010_2026-05,2026-05,400010,N04000078,4665,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,2018-07-01,2018-09-01,2021-09-01,2026-07-01,480.0,640.0,506.13,79.2
400010_2026-06,2026-06,400010,-,-,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,2018-07-01,2018-09-01,2021-09-01,2026-07-01,480.0,640.0,509.41,83.4
400012_2026-04,2026-04,400012,-,4509,Kandla Gorakhpur LPG Pipeline,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,Energy Storage,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",2018-12-01,2018-12-01,2021-12-01,2026-06-01,10088.0,10088.0,8529.58,95.2
