project_snapshot_id,snapshot_month,time_split,project_code,project_name,agency,ministry,sector,state,approval_date,planned_start_date,planned_completion_date,original_cost_cr,planned_duration_months,sector_prior_cost_revision_rate,sector_prior_schedule_revision_rate,target_cost_overrun,target_schedule_overrun,target_cost_overrun_pct,target_schedule_overrun_months
108841_2026-06,2026-06,test,108841,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,Department of Telecommunications,Telecommunication,PAN India,2023-08-01,2025-06-01,2028-06-01,3742.0,36.00525624178712,0.125,1.0,0.0,,0.0,
222253_2026-06,2026-06,test,222253,Amended BharatNet Program - UP (East),Department of Telecommunications,Department of Telecommunications,Telecommunication,Uttar Pradesh,2023-08-01,2025-02-01,2028-02-01,5008.0,35.972404730617605,0.125,1.0,0.0,,0.0,
400005_2026-04,2026-04,train,400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,Power Grid Corporation of India Limited [POWERGRID],Ministry of Power,Coal,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",2022-01-01,2022-07-01,2023-06-01,4546.26,11.005256241787121,,,0.0,1.0,0.0,34.98685939553219
400006_2026-04,2026-04,train,400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,Ministry of Railways,Railways,Odisha,2021-10-01,2021-10-01,2025-10-01,808.99,47.99605781865966,,,0.0,1.0,0.0,13.994743758212877
400006_2026-05,2026-05,validation,400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,Ministry of Railways,Railways,Odisha,2021-10-01,2021-10-01,2025-10-01,808.99,47.99605781865966,0.28846153846153844,0.7010869565217391,0.0,1.0,0.0,13.994743758212877
400006_2026-06,2026-06,test,400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,South Eastern Railway [SER] - I,Ministry of Railways,Railways,Odisha,2021-10-01,2021-10-01,2025-10-01,808.99,47.99605781865966,0.28790786948176583,0.707774798927614,0.0,1.0,0.0,13.994743758212877
400010_2026-04,2026-04,train,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,2018-07-01,2018-09-01,2021-09-01,480.0,36.00525624178712,,,1.0,1.0,33.33333333333333,57.95006570302234
400010_2026-05,2026-05,validation,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,2018-07-01,2018-09-01,2021-09-01,480.0,36.00525624178712,0.11538461538461539,0.8333333333333334,1.0,1.0,33.33333333333333,57.95006570302234
400010_2026-06,2026-06,test,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,2018-07-01,2018-09-01,2021-09-01,480.0,36.00525624178712,0.11538461538461539,0.875,1.0,1.0,33.33333333333333,57.95006570302234
400012_2026-04,2026-04,train,400012,Kandla Gorakhpur LPG Pipeline,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,Energy Storage,"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",2018-12-01,2018-12-01,2021-12-01,10088.0,36.00525624178712,,,0.0,1.0,0.0,53.975032851511166
