feature,importance,display_name
remaining_vs_overrun,0.2225113067318008,Remaining Time vs Slippage
schedule_pressure,0.18469229551558694,Schedule Pressure Ratio
time_overrun_months,0.13324893274393412,Current Time Slippage (Months)
agency,0.1181421774789656,Implementing Agency
state,0.10428463508038284,State / Region
schedule_elapsed_ratio,0.08102206509793654,Schedule Elapsed Ratio
months_remaining,0.04025860284491742,Months to Anticipated Completion
high_overrun_flag,0.027549942549031682,High Time Overrun Flag (>24m)
project_age_months,0.01749768411758922,Project Age (Months Elapsed)
prev_expenditure_ratio,0.010413342370354624,Previous Snapshot Expenditure Ratio
planned_duration_months,0.01021049181056411,Planned Duration (Months)
expenditure_ratio,0.00856483118544322,Expenditure Ratio (% of Anticipated)
anticipated_cost,0.006972433273620907,Anticipated Cost
original_cost,0.0064484281335881,Original Approved Cost
expenditure,0.005767804611459738,Cumulative Expenditure
exp_3m_change,0.0057505333085821056,3-Month Expenditure Acceleration (%)
sector,0.005365246924790133,Infrastructure Sector
cost_overrun_flag,0.005027642703132451,Cost Overrun Flag
cost_overrun_pct,0.002666373179788053,Cost Overrun (%)
cost_growth_ratio,0.0026018685971839696,Cost Escalation Ratio
has_revised_cost,0.0010033617413474124,Cost Revision Indicator
physical_progress,0.0,Physical Progress (%)
exp_progress_gap,0.0,Expenditure-Progress Alignment Gap
progress_exp_ratio,0.0,Progress-to-Expenditure Ratio
progress_3m_change,0.0,3-Month Progress Velocity (%)
low_progress_flag,0.0,Low Progress Warning Flag (<30%)
prev_physical_progress,0.0,Previous Snapshot Physical Progress
